pcd7,pcd8,pcds,dointr,doterm,usrtypind,east1m,north1m,gridind,oa21cd,cty25cd,ced25cd,lad25cd,wd25cd,nhser24cd,ctry25cd,rgn25cd,pcon24cd,ttwa15cd,itl25cd,npark16cd,lsoa21cd,msoa21cd,wz11cd,sicbl24cd,bua24cd,ruc21ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,icb23cd
"AL4 9LA","AL4  9LA","AL4 9LA","198001","","0","516764","0210102","1","E00120536","E10000015","E58000625","E07000240","E05013962","E40000013","E92000001","E12000006","E14001268","E30000237","E07000240","E65000001","E01023736","E02004930","E33027425","E38000079","E63011508","UN1","5B3",51.777421,-0.308906,"E37000048","","E23000027",22903,"E54000025"
"AL4 9LB","AL4  9LB","AL4 9LB","198001","","0","516651","0210077","1","E00120525","E10000015","E58000625","E07000240","E05015802","E40000013","E92000001","E12000006","E14001268","E30000237","E07000240","E65000001","E01023734","E02004930","E33024345","E38000079","E63011552","UN1","5B3",51.777220,-0.310552,"E37000048","","E23000027",32585,"E54000025"
"AL4 9LD","AL4  9LD","AL4 9LD","198001","","0","516724","0210015","1","E00120536","E10000015","E58000625","E07000240","E05013962","E40000013","E92000001","E12000006","E14001268","E30000237","E07000240","E65000001","E01023736","E02004930","E33027425","E38000079","E63011508","UN1","5B3",51.776647,-0.309515,"E37000048","","E23000027",22903,"E54000025"
"AL4 9LE","AL4  9LE","AL4 9LE","198001","","0","516620","0209890","1","E00120525","E10000015","E58000625","E07000240","E05015802","E40000013","E92000001","E12000006","E14001268","E30000237","E07000240","E65000001","E01023734","E02004930","E33024345","E38000079","E63011552","UN1","5B3",51.775546,-0.311063,"E37000048","","E23000027",32585,"E54000025"
"AL4 9LF","AL4  9LF","AL4 9LF","198604","","0","516376","0209273","1","E00120396","E10000015","E58000618","E07000240","E05015802","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023709","E02004931","E33027429","E38000079","E63011552","UN1","5A2",51.770051,-0.314805,"E37000048","","E23000027",24396,"E54000025"
"AL4 9LG","AL4  9LG","AL4 9LG","198001","","0","516557","0209769","1","E00120525","E10000015","E58000625","E07000240","E05015802","E40000013","E92000001","E12000006","E14001268","E30000237","E07000240","E65000001","E01023734","E02004930","E33024345","E38000079","E63011552","UN1","5B3",51.774471,-0.312017,"E37000048","","E23000027",32585,"E54000025"
"AL4 9LH","AL4  9LH","AL4 9LH","198001","","0","516443","0209677","1","E00120525","E10000015","E58000625","E07000240","E05015802","E40000013","E92000001","E12000006","E14001268","E30000237","E07000240","E65000001","E01023734","E02004930","E33024345","E38000079","E63011552","UN1","5B3",51.773668,-0.313699,"E37000048","","E23000027",32585,"E54000025"
"AL4 9LJ","AL4  9LJ","AL4 9LJ","198001","","0","516294","0209617","1","E00120525","E10000015","E58000625","E07000240","E05015802","E40000013","E92000001","E12000006","E14001268","E30000237","E07000240","E65000001","E01023734","E02004930","E33024345","E38000079","E63011552","UN1","5B3",51.773160,-0.315878,"E37000048","","E23000027",32585,"E54000025"
"AL4 9LL","AL4  9LL","AL4 9LL","198001","","0","516186","0209494","1","E00120525","E10000015","E58000625","E07000240","E05015802","E40000013","E92000001","E12000006","E14001268","E30000237","E07000240","E65000001","E01023734","E02004930","E33024345","E38000079","E63011552","UN1","5B3",51.772077,-0.317483,"E37000048","","E23000027",32585,"E54000025"
"AL4 9LN","AL4  9LN","AL4 9LN","198001","","0","516172","0209361","1","E00120525","E10000015","E58000625","E07000240","E05015802","E40000013","E92000001","E12000006","E14001268","E30000237","E07000240","E65000001","E01023734","E02004930","E33024345","E38000079","E63011552","UN1","5B3",51.770884,-0.317731,"E37000048","","E23000027",32585,"E54000025"
"AL4 9LP","AL4  9LP","AL4 9LP","198001","","0","516094","0209311","1","E00120525","E10000015","E58000625","E07000240","E05015802","E40000013","E92000001","E12000006","E14001268","E30000237","E07000240","E65000001","E01023734","E02004930","E33024345","E38000079","E63011552","UN1","5B3",51.770451,-0.318877,"E37000048","","E23000027",32585,"E54000025"
"AL4 9LQ","AL4  9LQ","AL4 9LQ","198001","","0","516855","0209707","1","E00120525","E10000015","E58000625","E07000240","E05015802","E40000013","E92000001","E12000006","E14001268","E30000237","E07000240","E65000001","E01023734","E02004930","E33024345","E38000079","E63011552","UN1","5B3",51.773852,-0.307720,"E37000048","","E23000027",32585,"E54000025"
"AL4 9LR","AL4  9LR","AL4 9LR","199501","200408","1","517328","0206823","1","E00120196","E10000015","E58000664","E07000240","E05013949","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023667","E02004936","E33027453","E38000079","E63011552","UN1","5A2",51.747834,-0.301841,"E37000048","","E23000027",30628,"E54000025"
"AL4 9LS","AL4  9LS","AL4 9LS","198001","","0","516139","0209240","1","E00120397","E10000015","E58000618","E07000240","E05015802","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023709","E02004931","E33027429","E38000079","E63011552","UN1","5A2",51.769804,-0.318249,"E37000048","","E23000027",24396,"E54000025"
